name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.5270465916200109,130.7
2_DecisionTree,Decision Tree,logloss,0.2054951412508934,239.96
3_DecisionTree,Decision Tree,logloss,0.18644554038094746,213.45
4_DecisionTree,Decision Tree,logloss,0.1865252256725764,204.28
5_Default_LightGBM,LightGBM,logloss,0.10826558630198149,212.95
6_Default_Xgboost,Xgboost,logloss,0.10358247980253567,205.24
7_Default_CatBoost,CatBoost,logloss,0.1006557148022419,150.78
8_Default_NeuralNetwork,Neural Network,logloss,0.1699942654551191,131.7
9_Default_RandomForest,Random Forest,logloss,0.15990476998219186,221.13
10_Default_ExtraTrees,Extra Trees,logloss,0.1551408445654982,207.32
11_Default_NearestNeighbors,Nearest Neighbors,logloss,0.566167428250935,256.01
16_LightGBM,LightGBM,logloss,0.10106457337106953,200.05
12_Xgboost,Xgboost,logloss,0.10428177621736918,220.2
20_CatBoost,CatBoost,logloss,0.09864377711722988,381.17
24_RandomForest,Random Forest,logloss,0.14376480692829444,566.23
28_ExtraTrees,Extra Trees,logloss,0.1717044310610832,262.73
32_NeuralNetwork,Neural Network,logloss,0.13996880452182764,194.33
36_NearestNeighbors,Nearest Neighbors,logloss,0.5612676544690829,461.82
17_LightGBM,LightGBM,logloss,0.1050010429796895,442.62
13_Xgboost,Xgboost,logloss,0.10525990176173133,603.09
21_CatBoost,CatBoost,logloss,0.10054175502596101,905.66
37_CatBoost,CatBoost,logloss,0.10060821892753644,751.75
38_CatBoost,CatBoost,logloss,0.10023354856714485,791.79
39_CatBoost,CatBoost,logloss,0.09988803344103155,817.34
40_CatBoost,CatBoost,logloss,0.10023340768799446,870.61
Ensemble,Ensemble,logloss,0.09224312778600074,5.08
20_CatBoost_Stacked,CatBoost,logloss,0.0914613982934448,1189.5
Ensemble_Stacked,Ensemble,logloss,0.08977106738685013,14.61
