name,model_type,metric_type,metric_value,train_time
60_LightGBM_SelectedFeatures,LightGBM,logloss,0.1054346691886904,66.02
61_Xgboost_SelectedFeatures,Xgboost,logloss,0.10946396940651996,70.08
62_Xgboost_SelectedFeatures,Xgboost,logloss,0.10915963598988027,77.26
63_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.13143907696984244,71.84
64_ExtraTrees,Extra Trees,logloss,0.13271513146574335,80.34
65_RandomForest,Random Forest,logloss,0.1334017810713368,75.83
66_RandomForest,Random Forest,logloss,0.13516681912720033,98.1
67_RandomForest,Random Forest,logloss,0.12896925814779198,91.14
68_DecisionTree,Decision Tree,logloss,0.19333830071364105,75.97
69_DecisionTree,Decision Tree,logloss,0.19333830071364105,76.42
Ensemble,Ensemble,logloss,0.0979786719484775,31.22
57_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.10288373102347198,97.84
42_CatBoost_GoldenFeatures_Stacked,CatBoost,logloss,0.10053411399401926,243.6
44_Xgboost_SelectedFeatures_Stacked,Xgboost,logloss,0.10537282733313318,108.25
49_NeuralNetwork_SelectedFeatures_Stacked,Neural Network,logloss,0.13319735231572558,74.26
50_ExtraTrees_SelectedFeatures_Stacked,Extra Trees,logloss,0.10546538881806168,232.99
53_RandomForest_Stacked,Random Forest,logloss,0.10482192557561983,258.02
59_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.10288373102347198,171.41
20_CatBoost_Stacked,CatBoost,logloss,0.10001348866037015,206.09
6_Default_Xgboost_SelectedFeatures_Stacked,Xgboost,logloss,0.10541544640455586,209.11
32_NeuralNetwork_Stacked,Neural Network,logloss,0.11759775692257354,111.75
51_ExtraTrees_Stacked,Extra Trees,logloss,0.10429438202641748,221.73
67_RandomForest_Stacked,Random Forest,logloss,0.10882186479564579,278.33
16_LightGBM_SelectedFeatures_Stacked,LightGBM,logloss,0.1030911060864793,193.96
Ensemble_Stacked,Ensemble,logloss,0.09692356580052378,116.04
