name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.5270465916200109,2.36
2_DecisionTree,Decision Tree,logloss,0.19941944825679078,51.34
3_DecisionTree,Decision Tree,logloss,0.1850619596812953,49.45
4_DecisionTree,Decision Tree,logloss,0.18177802586671604,45.26
5_Default_LightGBM,LightGBM,logloss,0.11349578037720978,48.91
6_Default_Xgboost,Xgboost,logloss,0.10942441329412668,41.21
7_Default_CatBoost,CatBoost,logloss,0.10741106442994974,22.13
8_Default_NeuralNetwork,Neural Network,logloss,0.13532613843566083,16.09
9_Default_RandomForest,Random Forest,logloss,0.15934357603748847,43.58
10_Default_ExtraTrees,Extra Trees,logloss,0.15561010539274317,50.57
11_Default_NearestNeighbors,Nearest Neighbors,logloss,0.43912867258941424,53.07
16_LightGBM,LightGBM,logloss,0.10613294428342954,42.34
12_Xgboost,Xgboost,logloss,0.11009222650099107,47.1
20_CatBoost,CatBoost,logloss,0.10623006381046042,96.52
24_RandomForest,Random Forest,logloss,0.14527388443296038,45.56
28_ExtraTrees,Extra Trees,logloss,0.16563455020823084,47.47
32_NeuralNetwork,Neural Network,logloss,0.1154082588008696,21.37
36_NearestNeighbors,Nearest Neighbors,logloss,0.40225492081287056,52.56
17_LightGBM,LightGBM,logloss,0.1099518245438455,42.77
13_Xgboost,Xgboost,logloss,0.11015369188712255,50.48
21_CatBoost,CatBoost,logloss,0.10670187780236877,41.72
25_RandomForest,Random Forest,logloss,0.133511905316226,65.9
29_ExtraTrees,Extra Trees,logloss,0.12936817935677214,46.19
33_NeuralNetwork,Neural Network,logloss,0.12446457602046254,26.31
37_NearestNeighbors,Nearest Neighbors,logloss,0.3958789925599488,54.24
18_LightGBM,LightGBM,logloss,0.10947778762058968,60.85
14_Xgboost,Xgboost,logloss,0.1400298278543913,51.18
22_CatBoost,CatBoost,logloss,0.10688290343362467,37.12
26_RandomForest,Random Forest,logloss,0.16495913301596551,52.47
30_ExtraTrees,Extra Trees,logloss,0.18656808277781356,82.05
34_NeuralNetwork,Neural Network,logloss,0.1677223280491588,31.31
19_LightGBM,LightGBM,logloss,0.11649853795846597,68.95
15_Xgboost,Xgboost,logloss,0.2255120917365295,52.2
23_CatBoost,CatBoost,logloss,0.10826761305985125,50.01
27_RandomForest,Random Forest,logloss,0.12958408234856825,66.07
31_ExtraTrees,Extra Trees,logloss,0.13851111592498577,67.72
35_NeuralNetwork,Neural Network,logloss,0.14675247831444224,37.68
16_LightGBM_GoldenFeatures,LightGBM,logloss,0.10633722224765631,84.85
20_CatBoost_GoldenFeatures,CatBoost,logloss,0.10643524879544787,101.1
21_CatBoost_GoldenFeatures,CatBoost,logloss,0.10685741220105444,56.16
16_LightGBM_RandomFeature,LightGBM,logloss,0.10665026219690041,32.08
16_LightGBM_SelectedFeatures,LightGBM,logloss,0.10531678664925138,48.31
20_CatBoost_SelectedFeatures,CatBoost,logloss,0.10719096107060395,71.8
6_Default_Xgboost_SelectedFeatures,Xgboost,logloss,0.10844620877197549,53.5
32_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.12164666594088558,31.65
29_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.12545737862017028,51.54
27_RandomForest_SelectedFeatures,Random Forest,logloss,0.13477502387463686,59.57
38_LightGBM_SelectedFeatures,LightGBM,logloss,0.10531678664925138,54.72
39_LightGBM,LightGBM,logloss,0.10613294428342954,61.77
40_CatBoost,CatBoost,logloss,0.10712872500699769,139.79
41_CatBoost,CatBoost,logloss,0.10739386459262037,81.35
42_CatBoost_GoldenFeatures,CatBoost,logloss,0.10597186050729075,158.31
43_CatBoost_GoldenFeatures,CatBoost,logloss,0.10626627020961295,73.07
44_Xgboost_SelectedFeatures,Xgboost,logloss,0.10757216550565586,61.25
45_Xgboost,Xgboost,logloss,0.10878856155251056,67.57
46_NeuralNetwork,Neural Network,logloss,0.13667677232503816,44.77
47_NeuralNetwork,Neural Network,logloss,0.1425330912258907,38.72
48_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.1310758937094035,38.51
49_NeuralNetwork_SelectedFeatures,Neural Network,logloss,0.11360469463645106,40.08
50_ExtraTrees_SelectedFeatures,Extra Trees,logloss,0.12385092431717415,63.43
51_ExtraTrees,Extra Trees,logloss,0.12422017856031434,72.1
52_RandomForest,Random Forest,logloss,0.1370680784024196,74.08
53_RandomForest,Random Forest,logloss,0.12883000230428568,86.14
54_DecisionTree,Decision Tree,logloss,0.17717817310943884,67.86
55_DecisionTree,Decision Tree,logloss,0.17717817310943884,76.5
56_NearestNeighbors,Nearest Neighbors,logloss,0.43427378129322575,72.48
57_LightGBM_SelectedFeatures,LightGBM,logloss,0.10383925095047096,65.56
58_LightGBM_SelectedFeatures,LightGBM,logloss,0.1054346691886904,76.76
59_LightGBM_SelectedFeatures,LightGBM,logloss,0.10383925095047096,67.59
